customer_id,customer_name,email,registration_date,customer_type
C0001,Customer 1,customer1@gmail.com,2026-06-15,VIP
C0002,Customer 2,customer2@gmail.com,2025-11-24,REGULAR
C0003,Customer 3,customer3@gmail.com,2024-08-17,VIP
C0004,Customer 4,customer4@gmail.com,2026-04-12,VIP
C0005,Customer 5,customer5@gmail.com,2026-06-10,REGULAR
C0006,Customer 6,customer6@gmail.com,2025-02-08,VIP
C0007,Customer 7,customer7@gmail.com,2025-12-19,VIP
C0008,Customer 8,customer8@gmail.com,2024-12-29,PREMIUM
C0009,Customer 9,customer9@gmail.com,2024-11-14,PREMIUM
C0010,Customer 10,customer10@gmail.com,2026-07-04,REGULAR
C0011,Customer 11,customer11@gmail.com,2025-07-27,PREMIUM
C0012,Customer 12,customer12@gmail.com,2024-05-20,PREMIUM
C0013,Customer 13,customer13@gmail.com,2025-06-16,REGULAR
C0014,Customer 14,customer14@gmail.com,2025-07-23,VIP
C0015,Customer 15,customer15@gmail.com,2026-05-27,VIP
C0016,Customer 16,customer16@gmail.com,2026-03-05,PREMIUM
C0017,Customer 17,customer17@gmail.com,2025-09-13,VIP
C0018,Customer 18,customer18@gmail.com,2024-02-09,PREMIUM
C0019,Customer 19,customer19@gmail.com,2024-07-19,REGULAR
C0020,Customer 20,customer20@gmail.com,2025-11-19,PREMIUM
C0021,Customer 21,customer21@gmail.com,2024-02-16,REGULAR
C0022,Customer 22,customer22@gmail.com,2025-06-16,PREMIUM
C0023,Customer 23,customer23@gmail.com,2024-03-08,PREMIUM
C0024,Customer 24,customer24@gmail.com,2025-07-12,REGULAR
C0025,Customer 25,customer25@gmail.com,2024-07-22,VIP
C0026,Customer 26,customer26@gmail.com,2024-10-25,VIP
C0027,Customer 27,customer27@gmail.com,2024-06-24,REGULAR
C0028,Customer 28,customer28@gmail.com,2025-06-17,PREMIUM
C0029,Customer 29,customer29@gmail.com,2024-09-23,VIP
C0030,Customer 30,customer30@gmail.com,2024-08-08,PREMIUM
C0031,Customer 31,customer31@gmail.com,2024-05-07,REGULAR
C0032,Customer 32,customer32@gmail.com,2026-06-08,PREMIUM
C0033,Customer 33,customer33@gmail.com,2026-05-04,REGULAR
C0034,Customer 34,customer34@gmail.com,2024-12-07,VIP
C0035,Customer 35,customer35@gmail.com,2024-09-07,PREMIUM
C0036,Customer 36,customer36@gmail.com,2023-12-17,VIP
C0037,Customer 37,customer37@gmail.com,2025-10-12,REGULAR
C0038,Customer 38,customer38@gmail.com,2024-12-13,VIP
C0039,Customer 39,customer39@gmail.com,2024-11-19,PREMIUM
C0040,Customer 40,customer40@gmail.com,2025-05-28,PREMIUM
C0041,Customer 41,customer41@gmail.com,2026-02-19,VIP
C0042,Customer 42,customer42@gmail.com,2024-05-28,REGULAR
C0043,Customer 43,customer43@gmail.com,2026-02-04,VIP
C0044,Customer 44,customer44@gmail.com,2024-08-13,PREMIUM
C0045,Customer 45,customer45@gmail.com,2025-06-11,PREMIUM
C0046,Customer 46,customer46@gmail.com,2025-03-18,VIP
C0047,Customer 47,customer47@gmail.com,2024-12-21,REGULAR
C0048,Customer 48,customer48@gmail.com,2026-03-15,VIP
C0049,Customer 49,customer49@gmail.com,2024-06-02,PREMIUM
C0050,Customer 50,customer50@gmail.com,2025-07-27,REGULAR
C0051,Customer 51,customer51@gmail.com,2026-01-30,PREMIUM
C0052,Customer 52,customer52gmail.com,2024-07-01,VIP
C0053,Customer 53,customer53@gmail.com,2025-02-13,REGULAR
C0054,Customer 54,customer54@gmail.com,2026-03-24,VIP
C0055,Customer 55,customer55@gmail.com,2024-09-24,VIP
C0056,Customer 56,customer56@gmail.com,2026-02-04,PREMIUM
C0057,Customer 57,customer57@gmail.com,2025-01-04,VIP
C0058,Customer 58,customer58@gmail.com,2024-11-04,PREMIUM
C0059,Customer 59,customer59@gmail.com,2026-03-18,PREMIUM
C0060,Customer 60,customer60@gmail.com,2024-03-11,PREMIUM
C0061,Customer 61,customer61@gmail.com,2025-11-06,VIP
C0062,Customer 62,customer62@gmail.com,2026-04-14,VIP
C0063,Customer 63,customer63@gmail.com,2026-05-01,VIP
C0064,Customer 64,customer64@gmail.com,2026-03-01,VIP
C0065,Customer 65,customer65@gmail.com,2024-12-25,REGULAR
C0066,Customer 66,customer66@gmail.com,2024-01-29,VIP
C0067,Customer 67,customer67@gmail.com,2025-12-06,VIP
C0068,Customer 68,customer68@gmail.com,2024-08-03,REGULAR
C0069,Customer 69,customer69@gmail.com,2025-05-28,VIP
C0070,Customer 70,customer70@gmail.com,2025-04-18,VIP
C0071,Customer 71,customer71@gmail.com,2025-10-30,REGULAR
C0072,Customer 72,customer72@gmail.com,2026-06-19,VIP
C0073,Customer 73,customer73@gmail.com,2024-11-15,REGULAR
C0074,Customer 74,customer74gmail.com,2024-07-16,VIP
C0075,Customer 75,customer75@gmail.com,2026-05-02,REGULAR
C0076,Customer 76,customer76@gmail.com,2026-04-29,VIP
C0077,Customer 77,customer77@gmail.com,2024-08-24,PREMIUM
C0078,Customer 78,customer78@gmail.com,2026-02-25,VIP
C0079,Customer 79,customer79@gmail.com,2024-12-03,VIP
C0080,Customer 80,customer80@gmail.com,2024-04-28,PREMIUM
C0081,Customer 81,customer81@gmail.com,2025-12-28,REGULAR
C0082,Customer 82,customer82@gmail.com,2025-04-25,PREMIUM
C0083,Customer 83,customer83@gmail.com,2025-03-19,VIP
C0084,Customer 84,customer84@gmail.com,2024-09-09,VIP
C0085,Customer 85,customer85@gmail.com,2025-05-24,VIP
C0086,Customer 86,customer86@gmail.com,2024-02-09,REGULAR
C0087,Customer 87,customer87@gmail.com,2025-12-28,VIP
